founder_id	vial_id	generation	males	females
H100	H110d	F2	1	0
H100	H110e	F2	0	1
H100	H113a	F2	0	3
H100	H113b	F2	5	13
H100	H113c	F2	1	0
H100	H114b	F2	5	3
H100	H114c	F2	3	1
H100	H114e	F2	7	12
I100	I102a	F2	19	13
I100	I102b	F2	1	4
I100	I102c	F2	0	3
I100	I102d	F2	3	10
I100	I106a	F2	7	4
I100	I107a	F2	1	0
I100	I107b	F2	0	1
I100	I107c	F2	12	4
I100	I107d	F2	1	4
I100	I107e	F2	10	1
I100	I111a	F2	6	16
I100	I111d	F2	4	5
I100	I111e	F2	0	3
J100	J102a	F2	0	2
J100	J102b	F2	12	12
J100	J102c	F2	1	3
J100	J102d	F2	17	40
J100	J102e	F2	0	1
J100	J104a	F2	13	18
J100	J106b	F2	24	17
J100	J106c	F2	0	6
J100	J106d	F2	27	8
J100	J106e	F2	46	9
J100	J107c	F2	1	0
J100	J107d	F2	2	0
K100	K101b	F2	1	0
K100	K101c	F2	1	1
K100	K101d	F2	15	12
L100	L103a	F2	11	4
L100	L103b	F2	7	6
L100	L107b	F2	2	8
L100	L107c	F2	2	6
L100	L110a	F2	1	1
L100	L110c	F2	1	0
L100	L110d	F2	0	3
L100	L110e	F2	1	8
L100	L114a	F2	8	3
L100	L114b	F2	4	1
L100	L114c	F2	5	0
N100	N103a	F2	17	29
N100	N106b	F2	2	1
N100	N106c	F2	5	6
N100	N106d	F2	7	2
N100	N106e	F2	9	12
N100	N107b	F2	1	0
N100	N107c	F2	1	5
N100	N107d	F2	46	35
N100	N111a	F2	3	5
P100	P102a	F2	1	2
P100	P102b	F2	24	3
P100	P102c	F2	2	2
P100	P102d	F2	9	7
Q100	Q103a	F2	4	15
Q100	Q115a	F2	2	3
Q100	Q115b	F2	5	1
R100	R106a	F2	3	4
S100	S103b	F2	4	4
S100	S103c	F2	1	13
S100	S103d	F2	2	6
S100	S103e	F2	2	10
S100	S105b	F2	10	3
S100	S105d	F2	14	17
S100	S107a	F2	6	10
S100	S107b	F2	2	9
S100	S107c	F2	6	10
S100	S107d	F2	4	8
S100	S107e	F2	7	12
T100	T104b	F2	8	1
T100	T107b	F2	4	13
T100	T107c	F2	1	1
T100	T111a	F2	0	1
T100	T111b	F2	0	1
T100	T111d	F2	1	5
T100	T111e	F2	2	0
U100	U105d	F2	15	14
U100	U115c	F2	1	1
U100	U115d	F2	1	0
U100	U115e	F2	3	0
U100	U115f	F2	4	3
U100	U115g	F2	3	0
V100	V106a	F2	4	8
V100	V106b	F2	3	4
V100	V106c	F2	10	13
V100	V106d	F2	1	3
V100	V106e	F2	7	22
V100	V108a	F2	9	13
