founder_id	mother_vial_id	vial_id	treatment	males	females
N100	N104	N104a	25	2	1
N100	N104	N104b	25	0	5
N100	N106	N106b	18	2	1
N100	N106	N106c	18	5	6
N100	N106	N106d	18	7	2
N100	N106	N106e	18	9	12
N100	N107	N107b	18	1	0
N100	N107	N107c	18	1	5
N100	N107	N107d	18	46	35
N100	N110	N110c	12	4	12
N100	N111	N111a	18	3	5
N100	N112	N112a	12	2	9
N100	N112	N112c	12	0	3
N100	N112	N112f	12	11	11
N100	N113	N113b	25	0	1
N100	N113	N113e	25	0	2
N100	N114	N114a	12	1	3
P100	P101	P101c	12	8	7
P100	P101	P101e	12	8	11
P100	P101	P101f	12	3	2
P100	P101	P101g	12	3	5
P100	P101	P101h	12	1	14
P100	P102	P102a	18	1	2
P100	P102	P102b	18	24	3
P100	P102	P102c	18	2	2
P100	P102	P102d	18	9	7
P100	P103	P103a	25	3	1
Q100	Q101	Q101c	12	1	7
Q100	Q101	Q101e	12	1	1
Q100	Q101	Q101f	12	1	0
Q100	Q102	Q102a	25	4	7
Q100	Q103	Q103a	18	4	15
Q100	Q106	Q106a	25	6	9
Q100	Q106	Q106b	25	7	3
Q100	Q106	Q106c	25	7	12
Q100	Q106	Q106d	25	2	1
Q100	Q106	Q106e	25	1	5
Q100	Q112	Q112a	25	16	25
Q100	Q112	Q112b	25	0	1
Q100	Q113	Q113a	12	0	7
Q100	Q113	Q113b	12	2	2
Q100	Q113	Q113e	12	0	2
Q100	Q114	Q114b	12	2	2
Q100	Q115	Q115a	18	2	3
Q100	Q115	Q115b	18	5	1
R100	R101	R101b	12	4	4
R100	R101	R101c	12	6	0
R100	R103	R103a	12	3	6
R100	R103	R103b	12	1	0
R100	R103	R103c	12	0	1
R100	R103	R103d	12	1	1
R100	R105	R105a	25	7	2
R100	R105	R105b	25	9	9
R100	R105	R105c	25	6	4
R100	R105	R105e	25	3	2
R100	R106	R106a	18	3	4
R100	R107	R107b	25	5	5
R100	R107	R107c	25	1	4
R100	R107	R107d	25	1	4
R100	R107	R107e	25	3	8
R100	R108	R108a	12	1	4
R100	R108	R108c	12	4	6
R100	R108	R108d	12	8	8
R100	R108	R108e	12	0	1
R100	R109	R109a	12	1	1
R100	R109	R109c	12	2	9
R100	R109	R109e	12	3	10
R100	R110	R110c	12	4	0
R100	R110	R110d	12	3	3
R100	R111	R111d	25	1	0
R100	R112	R112a	25	5	0
R100	R113	R113a	25	1	2
R100	R113	R113b	25	17	19
R100	R113	R113e	25	7	7
R100	R114	R114a	12	0	1
S100	S101	S101a	12	0	1
S100	S103	S103b	18	4	4
S100	S103	S103c	18	1	13
S100	S103	S103d	18	2	6
S100	S103	S103e	18	2	10
S100	S105	S105b	18	10	3
S100	S105	S105d	18	14	17
S100	S106	S106a	25	1	12
S100	S106	S106b	25	1	8
S100	S106	S106d	25	0	6
S100	S106	S106e	25	0	1
S100	S107	S107a	18	6	10
S100	S107	S107b	18	2	9
S100	S107	S107c	18	6	10
S100	S107	S107d	18	4	8
S100	S107	S107e	18	7	12
S100	S108	S108a	12	6	11
T100	T101	T101b	12	1	1
T100	T101	T101c	12	2	2
T100	T101	T101d	12	2	3
T100	T101	T101e	12	0	4
T100	T104	T104b	18	8	1
T100	T105	T105a	12	1	0
T100	T105	T105b	12	10	6
T100	T105	T105c	12	2	2
T100	T105	T105d	12	2	3
T100	T106	T106b	25	1	2
T100	T107	T107b	18	4	13
T100	T107	T107c	18	1	1
T100	T108	T108a	25	8	6
T100	T108	T108b	25	2	5
T100	T108	T108c	25	21	8
T100	T108	T108d	25	16	11
T100	T109	T109b	12	2	2
T100	T109	T109c	12	0	5
T100	T109	T109d	12	3	4
T100	T109	T109e	12	4	5
T100	T110	T110a	25	1	2
T100	T110	T110b	25	1	0
T100	T111	T111a	18	0	1
T100	T111	T111b	18	0	1
T100	T111	T111d	18	1	5
T100	T111	T111e	18	2	0
T100	T112	T112b	25	2	3
T100	T112	T112d	25	5	6
T100	T112	T112e	25	4	12
T100	T113	T113a	25	8	12
T100	T113	T113b	25	10	8
T100	T113	T113c	25	7	11
T100	T113	T113d	25	1	1
T100	T114	T114a	12	5	15
T100	T114	T114b	12	1	17
T100	T114	T114c	12	1	4
T100	T114	T114d	12	8	12
U100	U101	U101a	25	4	3
U100	U102	U102a	25	12	8
U100	U102	U102c	25	2	0
U100	U102	U102e	25	12	9
U100	U105	U105d	18	15	14
U100	U110	U110a	25	4	4
U100	U110	U110b	25	5	6
U100	U115	U115c	18	1	1
U100	U115	U115d	18	1	0
U100	U115	U115e	18	3	0
U100	U115	U115f	18	4	3
U100	U115	U115g	18	3	0
V100	V101	V101c	12	3	4
V100	V101	V101d	12	1	0
V100	V101	V101e	12	0	1
V100	V102	V102a	12	2	2
V100	V102	V102b	12	0	3
V100	V102	V102c	12	1	6
V100	V102	V102d	12	5	12
V100	V103	V103d	25	0	2
V100	V104	V104a	12	1	1
V100	V104	V104b	12	3	6
V100	V104	V104d	12	4	7
V100	V104	V104e	12	3	3
V100	V106	V106a	18	4	8
V100	V106	V106b	18	3	4
V100	V106	V106c	18	10	13
V100	V106	V106d	18	1	3
V100	V106	V106e	18	7	22
V100	V108	V108a	18	9	13
V100	V109	V109a	18	1	3
V100	V110	V110a	12	2	2
V100	V110	V110b	12	3	5
V100	V110	V110c	12	0	1
V100	V110	V110d	12	0	3
V100	V111	V111d	25	3	1
V100	V111	V111e	25	1	1
V100	V112	V112a	18	11	14
V100	V113	V113c	25	2	0
V100	V113	V113d	25	1	1
V100	V113	V113e	25	6	1
V100	V114	V114a	12	5	0
V100	V114	V114b	12	2	11
V100	V114	V114c	12	1	1
V100	V114	V114d	12	1	0
V100	V114	V114e	12	5	5
V100	V115	V115b	25	1	1
V100	V115	V115c	25	3	3
W100	W101	W101a	18	8	5
W100	W103	W103a	18	10	12
W100	W103	W103b	18	20	14
W100	W103	W103c	18	1	4
W100	W103	W103d	18	6	8
W100	W103	W103e	18	5	6
W100	W104	W104a	18	10	4
W100	W110	W110a	25	2	2
W100	W111	W111a	12	2	0
W100	W111	W111b	12	3	1
W100	W112	W112a	12	5	5
W100	W112	W112b	12	2	1
W100	W112	W112c	12	5	3
W100	W112	W112d	12	11	8
W100	W113	W113b	25	0	2
W100	W113	W113c	25	0	5
W100	W113	W113d	25	0	2
W100	W113	W113e	25	5	17
X100	X102	X102a	12	1	1
X100	X106	X106a	12	1	0
X100	X106	X106d	12	3	3
X100	X106	X106e	12	3	1
X100	X107	X107b	18	1	0
X100	X107	X107c	18	0	1
X100	X108	X108a	18	12	13
X100	X110	X110a	18	1	0
X100	X110	X110b	18	1	3
X100	X110	X110c	18	1	2
X100	X110	X110d	18	7	3
Z100	Z101	Z101a	18	4	4
Z100	Z101	Z101b	18	10	9
Z100	Z101	Z101d	18	5	3
Z100	Z102	Z102a	18	0	1
Z100	Z104	Z104a	25	1	0
Z100	Z104	Z104b	25	1	1
Z100	Z104	Z104c	25	1	0
Z100	Z104	Z104d	25	4	5
Z100	Z105	Z105a	25	4	7
Z100	Z105	Z105b	25	1	6
Z100	Z105	Z105c	25	4	3
Z100	Z105	Z105d	25	8	8
Z100	Z105	Z105e	25	1	0
Z100	Z106	Z106a	18	6	8
Z100	Z106	Z106c	18	0	1
Z100	Z110	Z110a	12	9	9
Z100	Z110	Z110b	12	3	1
Z100	Z110	Z110e	12	2	1
Z100	Z111	Z111a	18	4	13
Z100	Z111	Z111b	18	0	2
Z100	Z111	Z111c	18	4	7
Z100	Z111	Z111d	18	0	1
Z100	Z114	Z114a	25	2	1
Z100	Z114	Z114b	25	0	3
Z100	Z114	Z114c	25	18	9
Z100	Z115	Z115a	12	0	1
Z100	Z115	Z115b	12	1	1
Z100	Z115	Z115c	12	3	8
Z100	Z115	Z115d	12	3	0
A100	AA101	AA101a	25	20	3
A100	AA101	AA101c	25	2	2
A100	AA101	AA101d	25	20	10
A100	AA101	AA101e	25	14	0
A100	AA102	AA102a	18	5	7
A100	AA102	AA102b	18	5	2
