founder_id	mother_vial_id	mother_generation	mother_males	mother_females	daughter_vial_id	daughter_generation	daughter_males	daughter_females
F100	F103	F1	13	10	F103d	F2	9	7
F100	F103	F1	13	10	F103e	F2	12	4
F100	F103e	F2	12	4	F103e2	F3	0	1
F100	F104	F1	22	9	F104a	F2	2	2
F100	F104	F1	22	9	F104b	F2	2	6
F100	F104	F1	22	9	F104c	F2	10	4
F100	F104	F1	22	9	F104d	F2	5	0
F100	F104	F1	22	9	F104e	F2	16	3
F100	F105	F1	11	6	F105a	F2	6	3
F100	F105	F1	11	6	F105b	F2	10	4
F100	F105	F1	11	6	F105c	F2	5	0
F100	F105	F1	11	6	F105d	F2	17	5
F100	F105	F1	11	6	F105e	F2	9	3
F100	F110	F1	35	15	F110a	F2	24	4
F100	F110	F1	35	15	F110b	F2	10	4
F100	F110	F1	35	15	F110c	F2	2	5
F100	F110	F1	35	15	F110d	F2	5	3
F100	F110	F1	35	15	F110e	F2	5	1
F100	F111	F1	35	27	F111a	F2	11	1
F100	F111	F1	35	27	F111b	F2	13	10
F100	F111	F1	35	27	F111c	F2	10	3
F100	F111	F1	35	27	F111d	F2	10	1
F100	F111	F1	35	27	F111e	F2	2	0
G	G	G0	69	35	G1	F1	22	14
G	G	G0	69	35	G10	F1	33	31
G	G	G0	69	35	G11	F1	7	6
G	G	G0	69	35	G12	F1	18	7
G	G	G0	69	35	G13	F1	12	11
G	G	G0	69	35	G14	F1	2	4
G	G	G0	69	35	G15	F1	27	28
G	G	G0	69	35	G16	F1	14	5
G	G	G0	69	35	G17	F1	0	6
G	G	G0	69	35	G18	F1	31	28
G	G	G0	69	35	G19	F1	6	3
G	G	G0	69	35	G2	F1	7	25
G	G	G0	69	35	G20	F1	5	1
G	G	G0	69	35	G21	F1	9	3
G	G	G0	69	35	G22	F1	39	18
G	G	G0	69	35	G3	F1	33	10
G	G	G0	69	35	G5	F1	19	11
G	G	G0	69	35	G6	F1	1	2
G	G	G0	69	35	G7	F1	3	0
G	G	G0	69	35	G8	F1	42	16
G	G	G0	69	35	G9	F1	4	6
G100	G100	G0	55	23	G102	F1	4	10
G100	G100	G0	55	23	G104	F1	17	7
G100	G100	G0	55	23	G105	F1	11	4
G100	G100	G0	55	23	G106	F1	18	13
G100	G100	G0	55	23	G107	F1	38	17
G100	G100	G0	55	23	G110	F1	14	8
G100	G100	G0	55	23	G112	F1	18	16
G100	G102	F1	4	10	G102a	F2	5	11
G100	G102	F1	4	10	G102b	F2	7	11
G100	G102	F1	4	10	G102c	F2	5	4
G100	G102	F1	4	10	G102d	F2	12	12
G100	G104	F1	17	7	G104a	F2	10	7
G100	G104	F1	17	7	G104b	F2	5	17
G100	G104	F1	17	7	G104c	F2	13	21
G100	G104	F1	17	7	G104d	F2	12	12
G100	G104	F1	17	7	G104e	F2	7	12
G100	G104d	F2	12	12	G104d1	F3	3	3
G100	G104d	F2	12	12	G104d2	F3	3	3
G100	G104d	F2	12	12	G104d3	F3	4	2
G100	G104d3	F3	4	2	G104d3a	F4	16	28
G100	G105	F1	11	4	G105b	F2	4	2
G100	G105	F1	11	4	G105c	F2	4	6
G100	G105	F1	11	4	G105d	F2	9	6
G100	G106	F1	18	13	G106a	F2	6	5
G100	G106	F1	18	13	G106b	F2	11	3
G100	G106	F1	18	13	G106d	F2	5	10
G100	G106	F1	18	13	G106e	F2	9	13
